"City","Hits"
"Huancan",98
"Juliaca",97
"Huancayo",94.8333333333333
"Puno",92
"Miraflores District",88
"Huamancaca",86
"Paucarpata",75
"Huaraz",74
"Ayacucho",70.6666666666667
"Alto Selva Alegre District",70
"Mandalay",70
"Cerro Colorado District",69
"Quezon City",63
"Lima District",62
"Yangon",60.5
"Manila",57.5
"Tacna",56
"Santiago de Surco",51
"Cusco",49.4
"José Luis Bustamante District",48
"Ulaanbaatar",48
"Cebu City",45
"Arequipa",44.75
"Independencia",42
"Callao",41.5
"Ate",40.8
"Los Olivos",40.5
"Davao City",40
"Makati",38
"Pasay",38
"General Santos City",37
"San Juan de Miraflores",34.6666666666667
"Bacoor",34
"Breña",34
"Cayma District",33
"Villa María del Triunfo",32.3333333333333
"Chorrillos",32
"Lagos",32
"Calamba",31
"Comas",31
"Mandaluyong",30
"Pasig",29
"Taguig",28
"San Juan de Lurigancho",27.3333333333333
"Petaling Jaya",27
"Cochabamba",26
"Pueblo Libre",26
"Singapore",25.6666666666667
"Marikina",25
"Dasmariñas",22
"Puchong",21
"Santa Anita",20
"Rimac",18
"Lurigancho",16
"Abancay",NA
"Abbottabad",NA
"Abeokuta",NA
"Abiansemal",NA
"Abidjan",NA
"Abu Dhabi",NA
"Abuja",NA
"Adelaide",NA
"Agia Paraskevi",NA
"Aglipay",NA
"Aizawl",NA
"Aktau",NA
"Alajärvi",NA
"Alaminos",NA
"Alangalang",NA
"Alba Iulia",NA
"Alhambra",NA
"Alingsås",NA
"Allen",NA
"Almaty",NA
"Almería",NA
"Alpharetta",NA
"Alzano Lombardo",NA
"Amarilis District",NA
"Amarillo",NA
"Ambala Cantt",NA
"Ampang Jaya",NA
"Amsterdam-Zuidoost",NA
"Andahuaylas",NA
"Andrychów",NA
"Angeles",NA
"Angren",NA
"Antananarivo",NA
"Antipolo",NA
"Apple Valley",NA
"Arau",NA
"Arcos",NA
"Arendal",NA
"Arusha",NA
"Asaba",NA
"Ashland",NA
"Auckland",NA
"Ayaviri",NA
"Azangaro",NA
"Bacarra",NA
"Badgam",NA
"Bahadurgarh",NA
"Bahawalpur",NA
"Bajo Quimiri",NA
"Balamban",NA
"Balikpapan",NA
"Baliuag",NA
"Bamenda",NA
"Ban Lueam",NA
"Bandar Lampung",NA
"Bandar Pusat Jengka",NA
"Bandar Seri Begawan",NA
"Bandung",NA
"Bang Khu Rat",NA
"Bang Rak Noi",NA
"Bangkok",NA
"Bangor Trident Base",NA
"Bankura",NA
"Baras",NA
"Baraulikhalilabad",NA
"Bareilly",NA
"Barranca District",NA
"Basey",NA
"Batam",NA
"Batangas",NA
"Batu",NA
"Batu Caves",NA
"Batu Maung",NA
"Batumi",NA
"Bayan Lepas",NA
"Bayombong",NA
"Bayugan City",NA
"Be'er Ya'akov",NA
"Beaver Dam",NA
"Beaverton",NA
"Bekasi",NA
"Belgorod",NA
"Belgrade",NA
"Bellevue",NA
"Belo Horizonte",NA
"Bengaluru",NA
"Benin City",NA
"Bentong",NA
"Berettyóújfalu",NA
"Bergas",NA
"Berlin",NA
"Bern",NA
"Betim",NA
"Bhadrak",NA
"Bhiwadi",NA
"Bihar Sharif",NA
"Bilhorod-Dnistrovs'kyi",NA
"Binangonan",NA
"Binyamina-Giv'at Ada",NA
"Bishop's Stortford",NA
"Bitola",NA
"Blaenau Ffestiniog",NA
"Blaine",NA
"Bloemfontein",NA
"Bogotá",NA
"Bojong Gede",NA
"Bokaro Steel City",NA
"Boonton",NA
"Boulder",NA
"Brahmapur",NA
"Bratislava",NA
"Brentwood",NA
"Brest",NA
"Brno",NA
"Bromölla",NA
"Brookline",NA
"Brossard",NA
"Bryan",NA
"Bryansk",NA
"Bucharest",NA
"Buckeye",NA
"Budapest",NA
"Buea",NA
"Buena Park",NA
"Bukhara",NA
"Bulawayo",NA
"Bung Nam Rak",NA
"Bung Sanan",NA
"Burgas",NA
"Burnaby",NA
"Busto Arsizio",NA
"Butiá",NA
"Büyükçekmece",NA
"Březina",NA
"Cabanatuan City",NA
"Cabrières-d'Avignon",NA
"Cabuyao",NA
"Cachan",NA
"Cachoeira",NA
"Cainta",NA
"Cairo",NA
"Cajamarca",NA
"Calapan",NA
"Calgary",NA
"Calolziocorte",NA
"Caloocan",NA
"Camaligan",NA
"Camiling",NA
"Candelaria",NA
"Cape Town",NA
"Carabayllo District",NA
"Carmo do Paranaíba",NA
"Carol Stream",NA
"Carolina Forest",NA
"Carrières-sous-Poissy",NA
"Casa Grande",NA
"Casas Adobes",NA
"Cascavel",NA
"Catacaos",NA
"Catarman",NA
"Caçapava",NA
"Cecina",NA
"Centreville",NA
"Cerro de Pasco",NA
"Cervantes",NA
"Ceske Budejovice",NA
"Chaclacayo",NA
"Chaiyasathan",NA
"Chakma Block Number 8",NA
"Chandrapur",NA
"Changlun",NA
