"Countries","Hits"
"Sierra Leone",100
"Mongolia",89.6
"Peru",75.8571428571429
"Myanmar (Burma)",56.4
"Singapore",50.7142857142857
"North Macedonia",43
"Philippines",40.4285714285714
"Zimbabwe",40
"Malaysia",39
"Uganda",39
"Nigeria",38
"Ghana",34
"Latvia",31
"Ethiopia",30
"Cuba",28
"Moldova",28
"Bolivia",26.6666666666667
"Cameroon",26
"Georgia",24
"United States",23.4
"Kyrgyzstan",21
"Kenya",20
"Estonia",19
"Zambia",18
"Tanzania",17
"Jamaica",16
"Qatar",16
"China",14
"Indonesia",12
"Sri Lanka",12
"Ireland",11
"Lithuania",11
"Thailand",10.6666666666667
"Russia",10.2857142857143
"Ukraine",9.71428571428571
"Cambodia",9.5
"Finland",9.5
"Romania",9.5
"Australia",9.33333333333333
"Serbia",9.33333333333333
"Sweden",9.16666666666667
"Bangladesh",9
"Belarus",9
"Nepal",8.5
"Bulgaria",8.4
"Uzbekistan",8.25
"Kazakhstan",7.8
"New Zealand",7
"Slovakia",7
"United Arab Emirates",6.5
"Ecuador",6.2
"Croatia",6
"Hong Kong",6
"Canada",5.66666666666667
"Denmark",5.5
"South Africa",5.2
"Norway",5
"Israel",4.66666666666667
"Czechia",4.6
"India",4.6
"Pakistan",4.5
"Vietnam",4.5
"Greece",4.4
"Saudi Arabia",4
"South Korea",4
"United Kingdom",3.66666666666667
"Argentina",3.4
"Switzerland",3.25
"Austria",3.2
"Brazil",3.14285714285714
"Portugal",3
"Germany",2.85714285714286
"Poland",2.75
"Chile",2.5
"Belgium",2
"Egypt",2
"Hungary",2
"Morocco",2
"Netherlands",2
"Spain",1.5
"France",1.25
"Italy",1.25
"Mexico",1.25
"Türkiye",1.25
"Colombia",1
"Iran",1
"Japan",1
"Taiwan",1
"Afghanistan",NA
"Albania",NA
"Algeria",NA
"American Samoa",NA
"Andorra",NA
"Angola",NA
"Anguilla",NA
"Antarctica",NA
"Antigua & Barbuda",NA
"Armenia",NA
"Aruba",NA
"Azerbaijan",NA
"Bahamas",NA
"Bahrain",NA
"Barbados",NA
"Belize",NA
"Benin",NA
"Bermuda",NA
"Bhutan",NA
"Bosnia & Herzegovina",NA
"Botswana",NA
"Bouvet Island",NA
"British Indian Ocean Territory",NA
"British Virgin Islands",NA
"Brunei",NA
"Burkina Faso",NA
"Burundi",NA
"Cape Verde",NA
"Caribbean Netherlands",NA
"Cayman Islands",NA
"Central African Republic",NA
"Chad",NA
"Christmas Island",NA
"Cocos (Keeling) Islands",NA
"Comoros",NA
"Congo - Brazzaville",NA
"Congo - Kinshasa",NA
"Cook Islands",NA
"Costa Rica",NA
"Curaçao",NA
"Cyprus",NA
"Côte d’Ivoire",NA
"Djibouti",NA
"Dominica",NA
"Dominican Republic",NA
"El Salvador",NA
"Equatorial Guinea",NA
"Eritrea",NA
"Eswatini",NA
"Falkland Islands (Islas Malvinas)",NA
"Faroe Islands",NA
"Fiji",NA
"French Guiana",NA
"French Polynesia",NA
"French Southern Territories",NA
"Gabon",NA
"Gambia",NA
"Gibraltar",NA
"Greenland",NA
"Grenada",NA
"Guadeloupe",NA
"Guam",NA
"Guatemala",NA
"Guernsey",NA
"Guinea",NA
"Guinea-Bissau",NA
"Guyana",NA
"Haiti",NA
"Heard & McDonald Islands",NA
"Honduras",NA
"Iceland",NA
"Iraq",NA
"Isle of Man",NA
"Jersey",NA
"Jordan",NA
"Kiribati",NA
"Kosovo",NA
"Kuwait",NA
"Laos",NA
"Lebanon",NA
"Lesotho",NA
"Liberia",NA
"Libya",NA
"Liechtenstein",NA
"Luxembourg",NA
"Macao",NA
"Madagascar",NA
"Malawi",NA
"Maldives",NA
"Mali",NA
"Malta",NA
"Marshall Islands",NA
"Martinique",NA
"Mauritania",NA
"Mauritius",NA
"Mayotte",NA
"Micronesia",NA
"Monaco",NA
"Montenegro",NA
"Montserrat",NA
"Mozambique",NA
"Namibia",NA
"Nauru",NA
"New Caledonia",NA
"Nicaragua",NA
"Niger",NA
"Niue",NA
"Norfolk Island",NA
"North Korea",NA
"Northern Mariana Islands",NA
"Oman",NA
"Palau",NA
"Palestine",NA
"Panama",NA
"Papua New Guinea",NA
"Paraguay",NA
"Pitcairn Islands",NA
"Puerto Rico",NA
"Rwanda",NA
"Réunion",NA
"Samoa",NA
"San Marino",NA
"Senegal",NA
"Seychelles",NA
"Sint Maarten",NA
"Slovenia",NA
"Solomon Islands",NA
"Somalia",NA
"South Georgia & South Sandwich Islands",NA
"South Sudan",NA
"St. Barthélemy",NA
"St. Helena",NA
"St. Kitts & Nevis",NA
"St. Lucia",NA
"St. Martin",NA
"St. Pierre & Miquelon",NA
"St. Vincent & Grenadines",NA
"Sudan",NA
"Suriname",NA
"Svalbard & Jan Mayen",NA
"Syria",NA
"São Tomé & Príncipe",NA
"Tajikistan",NA
"Timor-Leste",NA
"Togo",NA
"Tokelau",NA
"Tonga",NA
"Trinidad & Tobago",NA
"Tunisia",NA
"Turkmenistan",NA
"Turks & Caicos Islands",NA
"Tuvalu",NA
"U.S. Outlying Islands",NA
"U.S. Virgin Islands",NA
"Uruguay",NA
"Vanuatu",NA
"Vatican City",NA
"Venezuela",NA
"Wallis & Futuna",NA
"Western Sahara",NA
"Yemen",NA
"Åland Islands",NA
