"Countries","Hits"
"Iceland",100
"North Macedonia",72
"Denmark",67.8333333333333
"Singapore",65.5
"Czechia",59.4285714285714
"Sweden",57.2857142857143
"Norway",55.3333333333333
"Cyprus",53
"Hong Kong",51.875
"Canada",51.1818181818182
"Bulgaria",50
"Estonia",49.5
"Lithuania",49.3333333333333
"United States",46.8461538461538
"Finland",46.6666666666667
"Philippines",44.7272727272727
"Portugal",44.3333333333333
"Latvia",44
"Myanmar (Burma)",41
"China",40
"Bosnia & Herzegovina",39.5
"New Zealand",39.1666666666667
"Honduras",39
"Georgia",38
"Serbia",34
"Uruguay",34
"Tunisia",33.75
"Poland",33.5
"Costa Rica",33.25
"Slovakia",33
"Australia",32
"Greece",32
"Romania",31.5
"Netherlands",31.4285714285714
"Slovenia",30.75
"Chile",30.1428571428571
"Germany",28.7272727272727
"Belgium",28.1666666666667
"Hungary",28
"Puerto Rico",26
"Malaysia",25.7777777777778
"Austria",25.5
"Ireland",23.4
"Algeria",23
"Argentina",21.7142857142857
"Croatia",21.6666666666667
"Morocco",20.6
"Nepal",20
"South Korea",18.3333333333333
"United Arab Emirates",18
"France",17.8888888888889
"Spain",17.875
"Switzerland",17.8333333333333
"United Kingdom",17.6
"Mexico",16.75
"Sri Lanka",16
"Taiwan",15.25
"Bangladesh",15
"Israel",15
"Egypt",14.6
"Dominican Republic",14
"Colombia",12.6666666666667
"Peru",12.5
"South Africa",12.2
"Ecuador",11.25
"Vietnam",10.5
"Venezuela",10.4
"Nigeria",10
"Brazil",9.375
"Italy",8.11111111111111
"Pakistan",8
"Türkiye",8
"Russia",7.28571428571429
"Bolivia",7
"Saudi Arabia",5.6
"Thailand",4.125
"India",4
"Iran",4
"Indonesia",2.88888888888889
"Ukraine",2.6
"Japan",2.2
"Afghanistan",NA
"Albania",NA
"American Samoa",NA
"Andorra",NA
"Angola",NA
"Anguilla",NA
"Antarctica",NA
"Antigua & Barbuda",NA
"Armenia",NA
"Aruba",NA
"Azerbaijan",NA
"Bahamas",NA
"Bahrain",NA
"Barbados",NA
"Belarus",NA
"Belize",NA
"Benin",NA
"Bermuda",NA
"Bhutan",NA
"Botswana",NA
"Bouvet Island",NA
"British Indian Ocean Territory",NA
"British Virgin Islands",NA
"Brunei",NA
"Burkina Faso",NA
"Burundi",NA
"Cambodia",NA
"Cameroon",NA
"Cape Verde",NA
"Caribbean Netherlands",NA
"Cayman Islands",NA
"Central African Republic",NA
"Chad",NA
"Christmas Island",NA
"Cocos (Keeling) Islands",NA
"Comoros",NA
"Congo - Brazzaville",NA
"Congo - Kinshasa",NA
"Cook Islands",NA
"Cuba",NA
"Curaçao",NA
"Côte d’Ivoire",NA
"Djibouti",NA
"Dominica",NA
"El Salvador",NA
"Equatorial Guinea",NA
"Eritrea",NA
"Eswatini",NA
"Ethiopia",NA
"Falkland Islands (Islas Malvinas)",NA
"Faroe Islands",NA
"Fiji",NA
"French Guiana",NA
"French Polynesia",NA
"French Southern Territories",NA
"Gabon",NA
"Gambia",NA
"Ghana",NA
"Gibraltar",NA
"Greenland",NA
"Grenada",NA
"Guadeloupe",NA
"Guam",NA
"Guatemala",NA
"Guernsey",NA
"Guinea",NA
"Guinea-Bissau",NA
"Guyana",NA
"Haiti",NA
"Heard & McDonald Islands",NA
"Iraq",NA
"Isle of Man",NA
"Jamaica",NA
"Jersey",NA
"Jordan",NA
"Kazakhstan",NA
"Kenya",NA
"Kiribati",NA
"Kosovo",NA
"Kuwait",NA
"Kyrgyzstan",NA
"Laos",NA
"Lebanon",NA
"Lesotho",NA
"Liberia",NA
"Libya",NA
"Liechtenstein",NA
"Luxembourg",NA
"Macao",NA
"Madagascar",NA
"Malawi",NA
"Maldives",NA
"Mali",NA
"Malta",NA
"Marshall Islands",NA
"Martinique",NA
"Mauritania",NA
"Mauritius",NA
"Mayotte",NA
"Micronesia",NA
"Moldova",NA
"Monaco",NA
"Mongolia",NA
"Montenegro",NA
"Montserrat",NA
"Mozambique",NA
"Namibia",NA
"Nauru",NA
"New Caledonia",NA
"Nicaragua",NA
"Niger",NA
"Niue",NA
"Norfolk Island",NA
"North Korea",NA
"Northern Mariana Islands",NA
"Oman",NA
"Palau",NA
"Palestine",NA
"Panama",NA
"Papua New Guinea",NA
"Paraguay",NA
"Pitcairn Islands",NA
"Qatar",NA
"Rwanda",NA
"Réunion",NA
"Samoa",NA
"San Marino",NA
"Senegal",NA
"Seychelles",NA
"Sierra Leone",NA
"Sint Maarten",NA
"Solomon Islands",NA
"Somalia",NA
"South Georgia & South Sandwich Islands",NA
"South Sudan",NA
"St. Barthélemy",NA
"St. Helena",NA
"St. Kitts & Nevis",NA
"St. Lucia",NA
"St. Martin",NA
"St. Pierre & Miquelon",NA
"St. Vincent & Grenadines",NA
"Sudan",NA
"Suriname",NA
"Svalbard & Jan Mayen",NA
"Syria",NA
"São Tomé & Príncipe",NA
"Tajikistan",NA
"Tanzania",NA
"Timor-Leste",NA
"Togo",NA
"Tokelau",NA
"Tonga",NA
"Trinidad & Tobago",NA
"Turkmenistan",NA
"Turks & Caicos Islands",NA
"Tuvalu",NA
"U.S. Outlying Islands",NA
"U.S. Virgin Islands",NA
"Uganda",NA
"Uzbekistan",NA
"Vanuatu",NA
"Vatican City",NA
"Wallis & Futuna",NA
"Western Sahara",NA
"Yemen",NA
"Zambia",NA
"Zimbabwe",NA
"Åland Islands",NA
