"City","Hits"
"Beijing",100
"North Bay",100
"Riga",100
"Ljubljana",97
"Cordova Bay",90.5
"Canberra",90
"Fremont",90
"Holladay",89
"St. John's",87.5
"Sudbury",86
"Guwahati",84
"Maribor",83
"Christchurch",82
"Bareilly",80
"Mira Bhayandar",80
"Sydney",80
"Goleta",79
"Saskatoon",78.6666666666667
"Kingston",78
"Adelaide",77
"Kaysville",77
"Kelowna",77
"Saint Catharines",77
"Jamshedpur",76
"Gold Coast",75
"Ranchi",75
"Moncton",73.5
"Birmingham",73
"Bratislava",72.5
"Meerut",71
"Nashik",71
"Bloomington",70.6666666666667
"North Vancouver",70.6666666666667
"Windsor",70.5
"Richmond",69.8
"Chantilly",68
"Waterloo",67.3333333333333
"Port Coquitlam",67
"Salt Lake City",67
"Kanpur",65
"Lethbridge",65
"London",65
"Peterborough",65
"Brisbane",64.5
"Pittsfield Charter Township",64
"Rochester",64
"Kamloops",63
"Coquitlam",62.6666666666667
"Hobart",62
"Townsville",62
"Evanston",61
"Kalyan",61
"Kitchener",61
"Burnaby",60.5
"Prince George",60.5
"Bradford West Gwillimbury",59
"Yerevan",59
"Richmond Hill",57.25
"Brno",57
"Halifax",56
"Burlington",55
"Cary",55
"College Station",54
"Markham",54
"Orillia",54
"Ulaanbaatar",52.5
"Shanghai",52
"Oakville",51
"Regina",49.3333333333333
"Kawartha Lakes",49
"Langley",49
"New Westminster",49
"Ottawa",48.75
"Greater Noida",48
"Abbotsford",47.5
"Arcadia",47
"Bay Lake",47
"Winnipeg",46.5
"Tallinn",45
"Centennial",43
"Edina",43
"Thunder Bay",42
"Iowa City",41
"Vancouver",40.6666666666667
"Pickering",40
"Skopje",39
"Calgary",37.3333333333333
"Vaughan",36.3333333333333
"Victoria",36.3333333333333
"Sunnyvale",36
"Belleville",35
"Bridgewater",35
"Vallejo",35
"Edmonton",34.6666666666667
"Mississauga",34
"Aurora",30
"Guelph",30
"Surrey",30
"Fredericton",28
"Brossard",23
"Kaunas",18
"Sherbrooke",17
"Arvada",15
"Gatineau",14
"Longueuil",12
"Montreal",12
"Trondheim",12
"Laval",11
"Levis",11
"Québec City",11
"Brașov",9
"Hamilton",9
"Toronto",9
"Kuching",8
"Bern",7
"Aalen",NA
"Aberdeen",NA
"Acri",NA
"Addis Ababa",NA
"Adlkofen",NA
"Agartala",NA
"Agios Dimitrios",NA
"Air Itam",NA
"Airdrie",NA
"Aizawl",NA
"Ajax",NA
"Akola",NA
"Alameda",NA
"Alamo",NA
"Alba Iulia",NA
"Albany",NA
"Alhambra",NA
"Aligarh",NA
"Alimos",NA
"Alma",NA
"Aloha",NA
"Alor Setar",NA
"Alpharetta",NA
"Alphen aan den Rijn",NA
"Altadena",NA
"Aluva",NA
"Alwar",NA
"Amaria",NA
"Ambala Cantt",NA
"Amelia",NA
"American Fork",NA
"Amherstburg",NA
"Amravati",NA
"Amritsar",NA
"Amstelveen",NA
"Amsterdam-Zuidoost",NA
"Anamosa",NA
"Anderson",NA
"Andover",NA
"Angus",NA
"Ankeny",NA
"Ann Arbor",NA
"Annandale",NA
"Annapolis",NA
"Antigonish",NA
"Apex",NA
"Apollo Beach",NA
"Apple Valley",NA
"Arden-Arcade",NA
"Arendal",NA
"Arley",NA
"Arlington Heights",NA
"Armstrong",NA
"Arnprior",NA
"Ashburn",NA
"Asheville",NA
"Aspen",NA
"Assendelft",NA
"Aston",NA
"Atascadero",NA
"Athens",NA
"Atlantic City",NA
"Atlantis",NA
"Auburn",NA
"Auchterarder",NA
"Augusta",NA
