"Countries","Hits"
"Mongolia",76.5714285714286
"China",62.75
"Canada",62.6923076923077
"North Macedonia",56.1428571428571
"Slovenia",53.6666666666667
"Armenia",52.3333333333333
"Latvia",49.4545454545455
"New Zealand",47.5384615384615
"Australia",44
"Panama",44
"Trinidad & Tobago",39
"Estonia",37.2857142857143
"Singapore",35.9230769230769
"United States",34.3333333333333
"Puerto Rico",33.8
"Hong Kong",33.75
"Slovakia",33
"Qatar",27
"Kosovo",26
"Malaysia",25.25
"United Kingdom",21.3846153846154
"Ghana",20.3333333333333
"Serbia",18.6363636363636
"Georgia",18.625
"Ireland",18.1666666666667
"Uzbekistan",18
"Lithuania",17.6363636363636
"Bulgaria",17.4545454545455
"Moldova",16.5
"Albania",16
"Bolivia",16
"Norway",15.6153846153846
"Bosnia & Herzegovina",15
"Nepal",14.8
"Czechia",13.5833333333333
"Finland",13.4615384615385
"Switzerland",13.3076923076923
"Sweden",11.6428571428571
"India",11.1428571428571
"Cyprus",11
"Morocco",11
"Myanmar (Burma)",11
"Oman",11
"Uganda",11
"Netherlands",10.9230769230769
"Austria",10.6153846153846
"Romania",9.83333333333333
"Denmark",9.81818181818182
"Croatia",9.57142857142857
"Kenya",9.5
"Tunisia",9
"Belgium",8.75
"Sri Lanka",8.5
"Philippines",8.38461538461539
"South Africa",7.85714285714286
"Israel",7.2
"Nigeria",7.16666666666667
"Uruguay",7
"Greece",6.90909090909091
"Pakistan",6.7
"United Arab Emirates",6.6
"Guatemala",6
"South Korea",5.81818181818182
"Hungary",5.55555555555556
"Peru",5.33333333333333
"Costa Rica",4.5
"Thailand",4.5
"Portugal",4.33333333333333
"Chile",4
"Ecuador",4
"Bangladesh",3.875
"Vietnam",3.875
"Kazakhstan",3.8
"Germany",3.58333333333333
"Ukraine",3.5
"Venezuela",3.5
"Belarus",3
"Poland",3
"Saudi Arabia",3
"Mexico",2.81818181818182
"Argentina",2.5
"Egypt",2.5
"Iran",2.5
"France",2.45454545454545
"Indonesia",2.36363636363636
"Italy",2.36363636363636
"Russia",2.18181818181818
"Spain",2.09090909090909
"Colombia",2
"Türkiye",2
"Taiwan",1.85714285714286
"Japan",1.3
"Brazil",1.22222222222222
"Afghanistan",NA
"Algeria",NA
"American Samoa",NA
"Andorra",NA
"Angola",NA
"Anguilla",NA
"Antarctica",NA
"Antigua & Barbuda",NA
"Aruba",NA
"Azerbaijan",NA
"Bahamas",NA
"Bahrain",NA
"Barbados",NA
"Belize",NA
"Benin",NA
"Bermuda",NA
"Bhutan",NA
"Botswana",NA
"Bouvet Island",NA
"British Indian Ocean Territory",NA
"British Virgin Islands",NA
"Brunei",NA
"Burkina Faso",NA
"Burundi",NA
"Cambodia",NA
"Cameroon",NA
"Cape Verde",NA
"Caribbean Netherlands",NA
"Cayman Islands",NA
"Central African Republic",NA
"Chad",NA
"Christmas Island",NA
"Cocos (Keeling) Islands",NA
"Comoros",NA
"Congo - Brazzaville",NA
"Congo - Kinshasa",NA
"Cook Islands",NA
"Cuba",NA
"Curaçao",NA
"Côte d’Ivoire",NA
"Djibouti",NA
"Dominica",NA
"Dominican Republic",NA
"El Salvador",NA
"Equatorial Guinea",NA
"Eritrea",NA
"Eswatini",NA
"Ethiopia",NA
"Falkland Islands (Islas Malvinas)",NA
"Faroe Islands",NA
"Fiji",NA
"French Guiana",NA
"French Polynesia",NA
"French Southern Territories",NA
"Gabon",NA
"Gambia",NA
"Gibraltar",NA
"Greenland",NA
"Grenada",NA
"Guadeloupe",NA
"Guam",NA
"Guernsey",NA
