"City","Hits"
"Chingjui Khullen",100
"Kalimpong",100
"Lusail",100
"Shani Arjun",100
"Tirur",98
"Bandar",96
"Hetauda",94.5
"Al Wukair",93.5
"Chandannagar",93
"Bagbari",92
"Tarakeshwar",92
"Itahari",91.5
"Doha",90.0909090909091
"Tihuria",90
"Pabna",86.8
"Kushtia",86
"Keraniganj",85
"Mahalaxmi",83
"Naogaon",83
"Satkhira",83
"Uttarpara Kotrung",81
"Al Wakrah",80
"Andro",80
"Jessore",80
"Feni",79.75
"Aolijen",76
"Budhanilkantha",76
"Champhai",76
"Tangail",76
"Baipayl",75
"Joydebpur",74.5
"Nagarjun",74.5
"Tokha",74
"North Chaltlang",73
"Hnahthial",71
"Dinajpur",70.6666666666667
"Madhabpur",70
"Dimapur",69
"Rangpur",69
"Zunheboto",69
"Savar",68.8571428571429
"Bogra",68
"Fatulla",67.8571428571429
"Tongi",66.75
"Malappuram",65.5
"Port Moresby",65
"Comilla",64.125
"Cox's Bazar",64
"Mokokchung",64
"Kohima",63.5
"Mon",63
"Barisal",62.75
"Chittagong",62.7
"Pokhara",62.3333333333333
"Khulna",61.6666666666667
"Dhaka",61.6153846153846
"Imphal",61.5
"Rajshahi",60.8
"Aizawl",60.3333333333333
"Bharatpur",60
"Kolasib",60
"Paba",60
"Patan",59.6666666666667
"Mymensingh",59
"Ar-Rayyan",58.4285714285714
"Sylhet",56.75
"Churachandpur",56
"Kamarjuri",55.125
"Kannur",54.5
"Lawngtlai",52
"Kathmandu",51.25
"Tuensang",51
"Gangtok",50.6666666666667
"Nambol",50
"Lilong Chajing",47
"Lunglei",47
"Mairang",47
"Biratnagar",46
"Addis Ababa",45.25
"Sohkymphor",45
"Nungoi",44
"Hooghly",42.5
"Sivasagar",42.5
"Agartala",42
"Butwal",42
"Sharjah",42
"Kozhikode",40.75
"Jeleeb Al-Shuyoukh",39
"Howrah",38
"Kuraopokpi",38
"Palakkad",38
"Kuching",37.5
"Manjeri",37
"Khangabok",36
"Mau",36
"Thrissur",35.5
"Asansol",35
"Sulaymaniyah",34.5
"Al Jubail",33.75
"Quetta",33
"Muscat",32.75
"Ajman",32
"Seeb",31.25
"Dubai",31
"Abu Dhabi",30.3333333333333
"Erbil",30
"Jowai",30
"Singapore",29
"Hawally",28.5
"Thimphu",28
"Thiruvananthapuram",27.6666666666667
"Mogadishu",27.3333333333333
"Dhahran",27
"Kochi",26
"Malacca",26
"Ras Al-Khaimah",25.5
"Oakville",25
"Peshawar",25
"6th of October City",24
"Al Khobar",24
"Karachi",24
"New Cairo City",24
"Shuwaikh Industrial",24
"Al Ain",23.3333333333333
"Colombo",22
"Faisalabad",22
"Gujranwala",22
"Portmore",20
"Shillong",19.5
"Guwahati",19
"Mangaluru",19
"Tura",19
"Dammam",18
"Glasgow",18
"Kolkata",18
"Phuentsholing",18
"Riyadh",18
"Alexandria",15
"Cairo",15
"Jeddah",15
"Burdwan",13
"Mira Bhayandar",13
"Giza",12
"Kabul",12
"Entebbe",10
"Kigali",9
"Abalpur",NA
"Abbottabad",NA
"Abdul Rahiman Nagar",NA
"Abdullah Al Mubarak Al Sabah",NA
"Abu Halifa",NA
"Abū Nakẖlah",NA
"Ad-Daẖirah",NA
"Adachaki",NA
"Ahmadi",NA
"Air Itam",NA
"Akhaura",NA
"Al Hofuf",NA
"Al Jazirah Al Hamra",NA
"Al Kharj",NA
"Al Khor",NA
"Al Mubarraz",NA
"Al Qatif",NA
"Al Sakhama",NA
"Al Uwaynah",NA
"Al Yahar",NA
"Al-Riqqa",NA
"Alaipur",NA
"Alamdanga",NA
"Alanallur-II",NA
"Alappuzha",NA
"Alberton",NA
"Aligarh",NA
"Aluva",NA
"Amadiya Union",NA
"Amarambalam",NA
"American Canyon",NA
"Amravati",NA
"Anakapalle",NA
"Anamangad",NA
"Ananganadi",NA
"Anantalingeshwar",NA
"Ananthavoor",NA
"Anantnag",NA
"Andal",NA
"Angadipuram",NA
"Angamaly",NA
"Angoda",NA
"Angul",NA
"Aniya",NA
"Anuradhapura",NA
"Anwara",NA
"Arambagh",NA
"Arima",NA
"Arua",NA
"Asab",NA
"Ash-Shahaniyah",NA
"Ashoknagar Kalyangarh",NA
"Ashuganj",NA
"Ashulia",NA
"Ataikula",NA
"Atharabari",NA
"Athi River",NA
"Atipara",NA
"Attariya",NA
"Attock",NA
"Avinashi",NA
"Avissawella",NA
"Avondale",NA
"Awassa",NA
"Aylesbury",NA
"Azhiyur",NA
"Babadamgre",NA
"Badgam",NA
"Badkulla",NA
"Bagatipara",NA
"Baghabari",NA
"Baghmara",NA
"Bagnan",NA
"Bagula",NA
"Bahawalpur",NA
"Baidyabati",NA
"Bainan",NA
"Balangir",NA
"Balangoda",NA
"Balasore",NA
"Baldheri",NA
"Balibhasa",NA
"Baligaon",NA
"Balurghat",NA
"Bandar Baru Bangi",NA
"Bandar Puncak Alam",NA
"Bandar Seri Begawan",NA
"Bandel",NA
"Banepa",NA
"Baniakhari",NA
"Bankura",NA
"Bannu",NA
"Banswara",NA
"Barachala",NA
"Baragar",NA
"Barakula",NA
"Barakuli",NA
"Baramati",NA
"Barengapara",NA
"Barguna",NA
