"Countries","Hits"
"Solomon Islands",100
"Qatar",81.5
"Papua New Guinea",74
"Bangladesh",68.7857142857143
"Maldives",64.7777777777778
"Belize",55
"Nepal",51
"Bhutan",49
"United Arab Emirates",38.5384615384615
"Brunei",34
"Bahrain",32.0769230769231
"Ethiopia",28.9230769230769
"Zimbabwe",27.6666666666667
"Oman",26.4285714285714
"Sri Lanka",25.7142857142857
"Mauritius",25
"Seychelles",25
"Jamaica",24.0714285714286
"Malawi",23
"Pakistan",22.9285714285714
"Trinidad & Tobago",22.9090909090909
"Botswana",22
"Kuwait",21.6
"Guyana",19
"Uganda",19
"Lebanon",17.9230769230769
"Afghanistan",17
"Zambia",16.875
"India",15.3333333333333
"Malaysia",15.2
"Namibia",15
"Myanmar (Burma)",14.3
"Kenya",14.1333333333333
"Lesotho",14
"Sierra Leone",14
"Gambia",13
"Ghana",12.8333333333333
"Singapore",12.1428571428571
"Saudi Arabia",12.0714285714286
"Fiji",12
"Tanzania",12
"Mongolia",11
"Rwanda",11
"South Africa",9.64285714285714
"Palestine",8.5
"Jordan",8.42857142857143
"Cambodia",8.28571428571429
"Nigeria",7.93333333333333
"Vietnam",7.91666666666667
"El Salvador",7
"Honduras",7
"Malta",7
"Puerto Rico",7
"United Kingdom",6.30769230769231
"Panama",6
"Uruguay",6
"New Zealand",5.69230769230769
"Australia",5.6
"Paraguay",5
"Ireland",4.93333333333333
"Canada",4.92857142857143
"Tunisia",4.75
"Lithuania",4.42857142857143
"Morocco",4.41666666666667
"Bulgaria",4
"Cameroon",4
"Costa Rica",4
"Guatemala",4
"Hong Kong",3.81818181818182
"Egypt",3.75
"Iraq",3.72727272727273
"Serbia",3.55555555555556
"Croatia",3.5
"Algeria",3
"United States",3
"Indonesia",2.71428571428571
"Norway",2.71428571428571
"Ecuador",2.66666666666667
"Romania",2.63636363636364
"Israel",2.5
"Venezuela",2.5
"Denmark",2.2
"Portugal",2.2
"Finland",2
"Peru",2
"Slovakia",2
"Sweden",2
"Switzerland",1.85714285714286
"Greece",1.81818181818182
"Hungary",1.75
"Belgium",1.6
"Netherlands",1.23076923076923
"Mexico",1.2
"Chile",1
"Colombia",1
"Czechia",1
"Kazakhstan",1
"South Korea",1
"Ukraine",1
"Poland",0.888888888888889
"Thailand",0.857142857142857
"Argentina",0.8
"Italy",0.785714285714286
"Philippines",0.75
"Türkiye",0.555555555555556
"Russia",0.5
"Taiwan",0.5
"Germany",0.461538461538462
"Iran",0.384615384615385
"Spain",0.285714285714286
"France",0.230769230769231
"Japan",0.0714285714285714
"Brazil",0
"Albania",NA
"American Samoa",NA
"Andorra",NA
"Angola",NA
"Anguilla",NA
"Antarctica",NA
"Antigua & Barbuda",NA
"Armenia",NA
"Aruba",NA
"Austria",NA
"Azerbaijan",NA
"Bahamas",NA
"Barbados",NA
"Belarus",NA
"Benin",NA
"Bermuda",NA
"Bolivia",NA
"Bosnia & Herzegovina",NA
"Bouvet Island",NA
"British Indian Ocean Territory",NA
"British Virgin Islands",NA
"Burkina Faso",NA
"Burundi",NA
"Cape Verde",NA
"Caribbean Netherlands",NA
"Cayman Islands",NA
"Central African Republic",NA
"Chad",NA
"China",NA
"Christmas Island",NA
"Cocos (Keeling) Islands",NA
"Comoros",NA
"Congo - Brazzaville",NA
"Congo - Kinshasa",NA
"Cook Islands",NA
"Cuba",NA
"Curaçao",NA
"Cyprus",NA
"Côte d’Ivoire",NA
"Djibouti",NA
"Dominica",NA
"Dominican Republic",NA
"Equatorial Guinea",NA
"Eritrea",NA
"Estonia",NA
"Eswatini",NA
"Falkland Islands (Islas Malvinas)",NA
"Faroe Islands",NA
"French Guiana",NA
"French Polynesia",NA
"French Southern Territories",NA
"Gabon",NA
"Georgia",NA
"Gibraltar",NA
"Greenland",NA
"Grenada",NA
"Guadeloupe",NA
"Guam",NA
"Guernsey",NA
"Guinea",NA
"Guinea-Bissau",NA
"Haiti",NA
"Heard & McDonald Islands",NA
"Iceland",NA
"Isle of Man",NA
"Jersey",NA
"Kiribati",NA
"Kosovo",NA
"Kyrgyzstan",NA
"Laos",NA
"Latvia",NA
"Liberia",NA
"Libya",NA
"Liechtenstein",NA
"Luxembourg",NA
"Macao",NA
"Madagascar",NA
